Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
01 Andalucía;General;Media anual;2021;125,598
01 Andalucía;General;Media anual;2020;120,098
01 Andalucía;General;Media anual;2019;117,358
01 Andalucía;General;Media anual;2018;111,371
01 Andalucía;General;Media anual;2017;106,101
01 Andalucía;General;Media anual;2016;102,841
01 Andalucía;General;Media anual;2015;100,000
01 Andalucía;General;Media anual;2014;97,077
01 Andalucía;General;Media anual;2013;96,923
01 Andalucía;General;Media anual;2012;106,267
01 Andalucía;General;Media anual;2011;120,476
01 Andalucía;General;Media anual;2010;128,108
01 Andalucía;General;Media anual;2009;130,163
01 Andalucía;General;Media anual;2008;134,534
01 Andalucía;General;Media anual;2007;131,927
